gene	18320935	18320936	18320937	18320938	18320939	18320940	18320941	18320942
WASH7P	10.91388197	8.426065655	4.080986005	5.245104621	8.531698913	6.230855021	6.139360419	8.711678652
LOC729737	2.453547325	0.033617302	0.380431142	0.339005849	1.282389934	1.523796576	2.991292547	1.308868167
TGIF1	26.45132355	26.51354573	11.30478119	16.77921104	64.82779127	19.55000695	10.59230411	48.73052537
PRDX6	396.5306921	701.2402172	700.7319526	1003.425362	356.8053461	379.9575492	495.4220184	527.4570081
CIC	32.96977524	28.1750588	6.313574487	13.94713564	29.33340798	13.10069205	22.17375461	25.59636718
LOC100133331	1.571579459	0.904386466	0.487357845	0.078961684	1.560686257	0.557738789	1.251280544	1.550201012
LOC100288069	2.14293915	3.087152149	1.012633149	1.599650832	4.352175146	1.521017954	2.803031559	6.704961473
FAM87B	0.287866899	0.189322133	0.214246921	0.086780678	0.631926665	1.072693217	0.429745512	0.695390204
LINC00115	2.868177261	5.868554853	1.054153414	1.921430953	3.997609625	2.375074732	2.029886774	3.28464949
LINC01128	3.212336442	5.79986395	1.428467502	2.777282458	3.136216324	2.774785209	2.243966948	3.528572424
FAM41C	0.164013263	0.323601019	0	0	0	0	0	0
LINC02593	0.928972862	0.122191974	0	0	0.699183516	0.593430738	1.553247524	0.98739868
LILRA4	0.805232027	0.090784959	0.022830456	0.027742417	0.432893593	1.4696706	0.577008084	0.911451748
PLEC	44.77614475	26.05893382	8.946914215	53.88119584	125.834234	27.53099346	40.41145654	51.31738236
PLEKHN1	0.827572524	0.057291754	0	0.052522303	0.655647805	1.205706413	0	3.535318763
MPP2	1.369891796	0.131045834	0	0.210238822	0.62487115	0.689465729	0.089238947	0.986743471
CFTR	0.115260597	0.030321488	0.022875598	0	56.32960649	19.87978306	4.928031778	4.766740005
C1QB	570.6935947	59.91727436	125.9483946	75.98321763	87.04555101	984.6264526	219.2155923	455.2992256
ELN	117.8980158	1.33448669	12.3591382	3.9232939	37.82864313	41.12078802	22.31143271	26.33363928
